Algorithm,Lambda,CloudletId,Length,VmId,SubmissionTime,StartTime,FinishTime,ExecutionTime,WaitingTime
FCFS,20.0000,382,3329,2,19.0503,19.1503,84.6485,65.4982,0.1000
FCFS,20.0000,746,2301,6,37.6774,37.7774,84.6485,46.8711,0.1000
FCFS,20.0000,768,2231,8,38.9175,39.0175,85.3195,46.3020,0.1000
FCFS,20.0000,473,3156,13,23.9377,24.0377,85.4295,61.3918,0.1000
FCFS,20.0000,877,1917,17,44.8459,44.9459,85.4295,40.4836,0.1000
FCFS,20.0000,87,6703,7,4.3926,4.4926,85.6495,81.1569,0.1000
FCFS,20.0000,291,4420,11,14.7545,14.8545,85.7595,70.9050,0.1000
FCFS,20.0000,787,2171,7,40.1128,40.2128,85.9795,45.7667,0.1000
FCFS,20.0000,82,6392,2,4.1595,4.2595,86.1995,81.9400,0.1000
FCFS,20.0000,460,2961,0,23.1797,23.2797,86.3095,63.0298,0.1000
FCFS,20.0000,611,2785,11,31.1296,31.2296,86.3095,55.0799,0.1000
FCFS,20.0000,104,6689,4,5.0344,5.1344,86.5295,81.3951,0.1000
FCFS,20.0000,679,2790,19,34.2934,34.3934,86.5295,52.1361,0.1000
FCFS,20.0000,22,8558,2,1.0868,1.1868,86.6395,85.4527,0.1000
FCFS,20.0000,344,4032,4,17.7220,17.8220,86.6395,68.8175,0.1000
FCFS,20.0000,111,7090,11,5.3932,5.4932,86.7495,81.2563,0.1000
FCFS,20.0000,34,8738,14,1.8737,1.9737,87.2995,85.3258,0.1000
FCFS,20.0000,649,2670,9,32.7538,32.8538,87.2995,54.4457,0.1000
FCFS,20.0000,989,1751,9,50.1529,50.2529,87.2995,37.0466,0.1000
FCFS,20.0000,256,4533,16,12.8229,12.9229,87.5195,74.5966,0.1000
FCFS,20.0000,289,4466,9,14.7429,14.8429,87.6295,72.7866,0.1000
FCFS,20.0000,281,4068,1,14.4091,14.5091,87.8495,73.3404,0.1000
FCFS,20.0000,37,9632,17,1.9476,2.0476,87.8495,85.8019,0.1000
FCFS,20.0000,324,4238,4,16.7587,16.8587,87.9595,71.1008,0.1000
FCFS,20.0000,14,9918,14,0.7335,0.8335,88.0695,87.2360,0.1000
FCFS,20.0000,262,4230,2,13.2300,13.3300,88.1795,74.8495,0.1000
FCFS,20.0000,504,3308,4,25.4541,25.5541,88.2895,62.7354,0.1000
FCFS,20.0000,27,8941,7,1.2925,1.3925,88.2895,86.8970,0.1000
FCFS,20.0000,482,3022,2,24.2616,24.3616,88.3995,64.0379,0.1000
FCFS,20.0000,697,2642,17,35.2804,35.3804,88.5095,53.1291,0.1000
FCFS,20.0000,472,3657,12,23.8962,23.9962,88.6195,64.6233,0.1000
FCFS,20.0000,231,5179,11,11.4474,11.5474,88.9880,77.4406,0.1000
FCFS,20.0000,456,3426,16,23.0819,23.1819,88.9880,65.8061,0.1000
FCFS,20.0000,333,4070,13,17.1054,17.2054,89.2080,72.0026,0.1000
FCFS,20.0000,376,3847,16,18.8569,18.9569,89.2080,70.2511,0.1000
FCFS,20.0000,902,1843,2,46.0903,46.1903,89.4280,43.2377,0.1000
FCFS,20.0000,694,2657,14,35.2249,35.3249,89.9890,54.6641,0.1000
FCFS,20.0000,576,3002,16,29.1069,29.2069,90.0990,60.8921,0.1000
FCFS,20.0000,521,2902,1,26.3284,26.4284,90.2090,63.7806,0.1000
FCFS,20.0000,458,2997,18,23.1164,23.2164,90.2090,66.9926,0.1000
FCFS,20.0000,184,5814,4,9.1731,9.2731,91.0900,81.8169,0.1000
FCFS,20.0000,903,2050,3,46.1440,46.2440,91.5355,45.2915,0.1000
FCFS,20.0000,227,5192,7,11.3345,11.4345,91.5355,80.1010,0.1000
FCFS,20.0000,554,3258,14,28.1853,28.2853,91.8995,63.6142,0.1000
